Test-Name,G-DemBy-Dir,G-DemBy-Suff,G-Demands,G-Eval,G-Suffices,Graph-Nodes,T-DemBy,T-Demands,T-Eval,T-Suffices
slicing/dict/difference,(0.18859849870204926 : 0.008081480640522644 : Nil),(0.44469359815120696 : 0.0498894604091128 : Nil),(0.22352679967880248 : 0.05942162568532902 : Nil),(0.7213235944509506 : 0.072767396590859 : Nil),(0.16436069905757905 : 0.00309821981701355 : Nil),(2.6 : 0.0 : Nil),(0.09161889553070068 : 0.0018633077959577036 : Nil),(0.15452369749546052 : 0.008078774056942411 : Nil),(0.11100839972496032 : 0.006249376521282795 : Nil),(0.10199320316314697 : 0.004731542577013971 : Nil)
slicing/dict/disjointUnion,(0.14043640494346618 : 0.0018323503159192096 : Nil),(0.3220774918794632 : 0.051481285463302315 : Nil),(0.14790229201316835 : 0.003901864364282761 : Nil),(0.5432800978422165 : 0.046360163845386465 : Nil),(0.11599609553813935 : 0.0018712157764004275 : Nil),(1.9 : 0.0 : Nil),(0.055981102585792544 : 0.001375429668459735 : Nil),(0.10183699727058411 : 0.005739418619629771 : Nil),(0.08352189064025879 : 0.019254855987880508 : Nil),(0.06281749904155731 : 0.005350810670367457 : Nil)
slicing/dict/foldl,(0.32527360022068025 : 0.05212986508933803 : Nil),(2.5103121995925903 : 0.08735954461800716 : Nil),(0.2364253044128418 : 0.005948206046513854 : Nil),(6.552265301346779 : 0.33212735824832723 : Nil),(0.2960750967264175 : 0.050556899564714645 : Nil),(11.0 : 0.0 : Nil),(2.3422100991010666 : 0.10597406888819652 : Nil),(1.3356929033994676 : 0.12058215907663185 : Nil),(2.5009620934724808 : 0.10927046590156249 : Nil),(2.3480003982782365 : 0.14927207658376143 : Nil)
slicing/dict/intersectionWith,(0.48311089277267455 : 0.08002366551408364 : Nil),(0.7974099069833755 : 0.08441098219093343 : Nil),(0.560923594236374 : 0.16944512386876767 : Nil),(1.9052485018968581 : 0.2444850717781828 : Nil),(0.4552138030529022 : 0.06462324250881969 : Nil),(4.8 : 0.0 : Nil),(0.3202973991632462 : 0.05989385612136899 : Nil),(0.5060897946357727 : 0.08917379812029427 : Nil),(0.43315249979496 : 0.1073139404054941 : Nil),(0.3050045996904373 : 0.042614430749470904 : Nil)
slicing/dict/get,(0.16463029980659485 : 0.00993151692128334 : Nil),(0.6717601031064987 : 0.06710994627893498 : Nil),(0.15345269739627837 : 0.01737903372262229 : Nil),(1.0552190989255905 : 0.10452851866359265 : Nil),(0.1360898047685623 : 0.008101941350749006 : Nil),(3.4 : 0.0 : Nil),(0.12213200032711029 : 0.010305943922217994 : Nil),(0.21794140338897705 : 0.01364170558593457 : Nil),(0.15355340242385865 : 0.018494433579599557 : Nil),(0.197873991727829 : 0.06335375075074964 : Nil)
slicing/dict/map,(0.3873099982738495 : 0.07102497327077543 : Nil),(1.5219535022974013 : 0.09247632257814108 : Nil),(0.2705599933862686 : 0.02021375454866557 : Nil),(2.6890174001455307 : 0.11679593125746147 : Nil),(0.355403795838356 : 0.054860609494380964 : Nil),(6.9 : 0.0 : Nil),(0.4196579098701477 : 0.05983389651332486 : Nil),(0.45529490411281587 : 0.013233724941527653 : Nil),(0.45109029710292814 : 0.05578747528976152 : Nil),(0.36224219501018523 : 0.01275403734308346 : Nil)
slicing/divide,(0.12963169515132905 : 0.0018328367022786602 : Nil),(0.07652009427547454 : 0.0010171219668718059 : Nil),(0.1361534982919693 : 0.003189589861096699 : Nil),(0.20322250425815583 : 0.0061270113351046445 : Nil),(0.13409989476203918 : 0.004039714894229799 : Nil),(0.7 : 0.0 : Nil),(0.02466389536857605 : 0.0010649607240766886 : Nil),(0.03886360228061676 : 0.0031078984985155778 : Nil),(0.035105904936790465 : 0.008169691363491514 : Nil),(0.024644500017166136 : 0.0005256607982507712 : Nil)
slicing/dict/match,(0.3375274002552032 : 0.05868541510720428 : Nil),(0.206739205121994 : 0.0659780513425008 : Nil),(0.1995089054107666 : 0.006120051052771239 : Nil),(0.6475367963314056 : 0.07352262261977088 : Nil),(0.22774949967861174 : 0.0037866709700901608 : Nil),(1.6 : 0.0 : Nil),(0.1260471075773239 : 0.004762433406776798 : Nil),(0.16889429986476898 : 0.009176563017936958 : Nil),(0.14306890070438386 : 0.006291498141710797 : Nil),(0.12471090853214264 : 0.0017439774827447763 : Nil)
slicing/dtw/compute-dtw,(15891.994377100467 : 667.6640507595359 : Nil),(178.74025209844112 : 9.737357627468596 : Nil),(15.550100898742675 : 0.6278383340130574 : Nil),(653.3370541989804 : 58.59154398380692 : Nil),(36.5589145988226 : 2.0124098223297775 : Nil),(603.8 : 0.0 : Nil),(167.440046903491 : 10.188926136190045 : Nil),(106.49938480257988 : 7.8036340060424605 : Nil),(211.71431460678576 : 9.987123408786376 : Nil),(170.7528201967478 : 7.976476085855799 : Nil)
slicing/dtw/average-series,(12549.820045605302 : 404.5589054222748 : Nil),(244.96116809248923 : 5.043729053462435 : Nil),(4.2466122031211855 : 0.1840481970537937 : Nil),(550.9076525002718 : 16.99181610055169 : Nil),(2.6504084020853043 : 0.243894445735878 : Nil),(656.9 : 0.0 : Nil),(150.35281729996206 : 5.935427230324168 : Nil),(89.7596581965685 : 1.6523370574949405 : Nil),(203.8681335002184 : 7.081875425238248 : Nil),(165.10238749682904 : 7.109345327388737 : Nil)
slicing/filter,(1.1228174984455108 : 0.2145442422512087 : Nil),(0.9312462925910949 : 0.2195930930165023 : Nil),(0.4395210027694702 : 0.05070525570304466 : Nil),(4.752266699075699 : 0.268933386304566 : Nil),(0.9003278970718384 : 0.14100282489427812 : Nil),(5.6 : 0.0 : Nil),(1.7335206031799317 : 0.21074588282118065 : Nil),(0.6982353955507279 : 0.05058899814495848 : Nil),(1.7337152034044265 : 0.34395249715240594 : Nil),(1.9565840065479279 : 0.2757855988339377 : Nil)
slicing/intersperse,(0.6709101021289825 : 0.013154058062161715 : Nil),(0.7345492035150528 : 0.017142026302924784 : Nil),(0.6534433901309967 : 0.1744199834655093 : Nil),(3.505749097466469 : 0.06948001698068622 : Nil),(0.795098802447319 : 0.17918013696589027 : Nil),(5.1 : 0.0 : Nil),(0.6392997980117798 : 0.015708431422575393 : Nil),(0.3271017998456955 : 0.009068614287789096 : Nil),(0.7073528975248337 : 0.013070068683612875 : Nil),(0.6288989007472991 : 0.014983430086476497 : Nil)
